Wide(Inches),Weight(Pounds),Ram Size(GB),Ram Type,HDD,Processor,Battery(mAh),Camera(MP),Display,Label
14.8,3.66,2,DDR3,512GB,4.06,3876,1.9,LTPS-SCREEN,4
10.5,1.47,2,DDR4,32GB,1.5,4423,10,LED,5
4.0,0.175,2,DR2,128GB,1.5,2698,6,IPS-LCD,6
14.9,5.94,2,DDR4,128GB,2.15,5465,1.9,LTPS-SCREEN,1
15.4,5.69,16,DDR3,1TB,2.8,3009,1.9,OLED,2
15.7,2.8,4,DDR3,256GB,2.96,4852,1.3,IPS,3
15.5,3.53,4,DR2,128GB,3.84,4217,1.2,LTPS-SCREEN,4
11.1,1.2,16,DDR3,64GB,1.8,3962,3,IPS,5
4.0,0.149,4,DDR3,16GB,1.5,1069,12,IPS-LCD,6
14.3,7.83,2,DR2,256GB,1.77,2153,2.1,LTPS-SCREEN,1
15.6,4.32,16,DDR4,256GB,2.38,3241,1.2,IPS,2
15.9,2.52,8,DDR4,256GB,3.15,2349,1.9,OLED,3
15.4,2.99,8,DDR4,512GB,4.43,3651,1.3,IPS-LCD,4
11.1,1.01,16,DDR4,64GB,1.8,2703,4,IPS,5
4.3,0.185,8,DDR3,32GB,1.3,2816,32,LTPS-SCREEN,6
13.7,7.84,8,DDR3,128GB,2.46,2816,1.9,OLED,1
15.1,4.71,16,DDR4,256GB,2.48,3091,3.1,LTPS-SCREEN,2
15.7,2.75,16,DDR3,256GB,2.56,2541,1.3,OLED,3
14.1,3.29,2,DDR3,1TB,3.77,4375,3.1,AMOLED,4
9.9,0.77,8,DR2,16GB,2.36,2827,1.3,LTPS-SCREEN,5
4.6,0.182,8,DDR3,128GB,2.36,1411,108,OLED,6
15.4,4.6,8,DDR4,256GB,1.7,2617,1.3,AMOLED,1
14.4,4.98,2,DDR3,128GB,2.93,2877,1.9,IPS-LCD,2
15.6,2.3,8,DDR3,1TB,2.81,3134,1.3,LED,3
15.3,3.04,2,DDR4,256GB,4.06,4018,1.2,AMOLED,4
10.2,1.31,8,DDR4,32GB,1.8,2934,6,LTPS-SCREEN,5
4.7,0.158,16,DDR4,128GB,1.5,2177,32,OLED,6
14.1,7.32,8,DDR4,256GB,2.52,5077,3.1,OLED,1
15.5,5.49,2,DR2,256GB,2.94,3034,2.1,IPS,2
15.9,2.46,2,DDR4,1TB,2.86,5225,1.2,OLED,3
13.7,3.19,2,DDR4,512GB,4.22,4073,3.1,IPS-LCD,4
10.9,0.94,2,DR2,16GB,1.3,3914,6,IPS,5
3.6,0.157,4,DDR4,128GB,2.36,2030,108,OLED,6
13.9,7.37,8,DDR4,1TB,3.37,3136,1.2,LED,1
15.5,4.97,4,DDR3,128GB,2.67,3638,1.2,LTPS-SCREEN,2
15.8,2.98,16,DR2,128GB,2.86,4663,1.3,LED,3
14.4,3.46,4,DDR3,128GB,4.44,4746,2.1,IPS,4
10.5,1.4,8,DR2,16GB,2.36,4085,2,AMOLED,5
3.6,0.135,16,DDR3,16GB,1.8,1878,4,IPS-LCD,6
15.2,2.64,16,DR2,512GB,2.84,4138,3.1,LED,1
14.5,5.27,4,DR2,1TB,2.98,2554,1.9,LTPS-SCREEN,2
15.8,2.78,8,DDR4,128GB,2.78,5986,1.3,IPS-LCD,3
13.8,3.58,4,DDR3,512GB,4.27,4710,1.2,AMOLED,4
11.6,0.84,16,DR2,16GB,1.8,4573,8,AMOLED,5
5.2,0.189,2,DR2,16GB,2.36,3706,6,IPS-LCD,6
15.5,6.71,4,DR2,512GB,2.65,2747,1.3,LED,1
15.2,5.98,2,DDR4,512GB,2.94,3662,1.3,LED,2
15.8,2.31,4,DR2,512GB,3.32,2198,4,LED,3
14.3,3.23,16,DR2,256GB,4.39,3983,1.3,IPS,4
11.4,0.98,8,DDR4,64GB,2.36,3303,4,LED,5
3.6,0.147,2,DDR4,16GB,2.5,2607,10,IPS,6
14.0,7.68,4,DDR3,256GB,2.23,2829,2.1,IPS-LCD,1
14.2,5.54,16,DDR3,1TB,2.58,3723,1.2,OLED,2
15.6,2.56,16,DDR3,512GB,2.65,5587,1.9,IPS-LCD,3
14.4,3.17,8,DR2,1TB,4.12,4190,4,LTPS-SCREEN,4
11.7,0.9,16,DR2,16GB,2.36,4225,2,OLED,5
4.8,0.149,2,DR2,32GB,1.3,2972,108,AMOLED,6
13.3,3.62,16,DDR3,512GB,1.94,4446,1.9,LTPS-SCREEN,1
14.3,4.65,2,DR2,256GB,2.56,3176,3.1,LED,2
15.6,2.65,16,DDR3,512GB,3.47,2619,1.2,IPS-LCD,3
14.1,3.17,8,DR2,1TB,4.33,4884,1.2,LED,4
11.0,1.31,4,DR2,64GB,1.3,3798,3,IPS-LCD,5
4.4,0.141,2,DDR3,128GB,1.8,1478,6,LED,6
15.9,7.21,8,DDR3,256GB,1.86,3165,3.1,IPS,1
14.2,4.95,8,DDR3,128GB,2.88,3904,1.2,OLED,2
15.8,2.6,16,DR2,256GB,2.35,3086,1.2,OLED,3
13.9,3.4,2,DDR3,128GB,3.86,4740,3.1,LED,4
11.0,1.71,8,DDR3,32GB,1.8,4415,10,OLED,5
5.4,0.132,16,DDR4,32GB,2.96,674,16,IPS,6
15.8,4.12,8,DDR4,1TB,2.73,4914,4,AMOLED,1
14.6,4.79,4,DDR3,128GB,2.4,3945,3.1,LED,2
15.6,2.43,2,DDR3,512GB,2.78,4323,1.2,LTPS-SCREEN,3
14.9,3.09,4,DDR4,256GB,4.22,4627,1.3,AMOLED,4
10.8,1.77,2,DDR4,16GB,1.5,4159,1.3,LED,5
3.4,0.146,16,DR2,16GB,1.3,676,13,LTPS-SCREEN,6
14.0,4.43,4,DDR4,512GB,1.89,4355,1.2,AMOLED,1
14.0,5.38,2,DR2,512GB,2.47,3634,1.2,OLED,2
15.7,2.81,4,DR2,128GB,2.92,3280,4,OLED,3
13.8,3.32,2,DR2,128GB,3.76,3740,2.1,LED,4
10.6,1.1,16,DR2,16GB,2.36,3179,6,LTPS-SCREEN,5
5.0,0.148,16,DDR3,64GB,2.36,2450,3,LED,6
15.6,5.59,16,DR2,1TB,3.22,2234,1.3,IPS,1
14.2,4.05,2,DDR3,1TB,2.48,3610,3.1,AMOLED,2
16.0,2.98,4,DDR3,512GB,3.22,2760,4,OLED,3
14.5,3.58,2,DDR3,512GB,4.49,3873,1.3,AMOLED,4
10.5,1.31,8,DDR3,16GB,1.8,4899,12,LTPS-SCREEN,5
4.5,0.164,2,DDR3,16GB,2.36,1757,32,IPS-LCD,6
15.2,3.26,16,DR2,256GB,3.0,2347,2.1,OLED,1
15.3,5.07,2,DDR3,256GB,2.44,2939,1.2,IPS-LCD,2
15.8,2.85,4,DDR3,256GB,2.86,5272,1.9,AMOLED,3
14.5,3.64,16,DDR3,512GB,3.85,4366,2.1,IPS,4
10.8,1.29,4,DDR3,32GB,1.8,3583,12,AMOLED,5
5.1,0.161,2,DDR3,64GB,1.3,1369,8,IPS-LCD,6
14.1,3.27,8,DDR3,1TB,2.88,3348,2.1,OLED,1
14.4,4.52,2,DDR3,1TB,2.71,3909,1.9,IPS,2
16.0,2.91,16,DDR3,256GB,3.04,4865,1.9,OLED,3
13.7,3.42,4,DR2,128GB,3.84,4637,2.1,LED,4
10.1,1.05,4,DR2,16GB,1.5,3793,12,LTPS-SCREEN,5
3.8,0.134,16,DR2,16GB,2.96,1930,10,OLED,6
13.4,6.38,8,DDR4,1TB,2.17,4812,3.1,LTPS-SCREEN,1
14.4,5.91,8,DDR4,1TB,2.59,3461,3.1,LED,2
15.7,2.6,2,DDR3,512GB,3.39,4080,1.3,OLED,3
14.5,3.65,2,DR2,128GB,4.32,3744,1.2,OLED,4
11.3,1.33,16,DDR3,32GB,1.3,4651,4,AMOLED,5
3.8,0.188,4,DDR3,16GB,2.36,2246,6,LED,6
15.6,3.39,16,DDR3,256GB,2.22,5686,2.1,OLED,1
14.8,4.69,8,DR2,1TB,2.63,2516,2.1,AMOLED,2
15.7,2.77,8,DDR4,1TB,2.67,3866,1.2,IPS-LCD,3
15.0,3.6,8,DR2,1TB,3.89,3852,1.2,LTPS-SCREEN,4
10.1,1.2,16,DDR4,32GB,2.36,3754,6,IPS-LCD,5
3.9,0.147,16,DDR3,16GB,1.8,3449,3,IPS-LCD,6
13.2,2.49,8,DDR4,128GB,2.51,4613,4,LTPS-SCREEN,1
14.2,4.36,4,DDR3,512GB,2.62,3336,3.1,LED,2
15.8,2.54,16,DR2,1TB,2.45,3341,4,LED,3
15.2,3.23,4,DR2,128GB,3.96,4254,3.1,IPS-LCD,4
11.1,1.45,8,DR2,16GB,2.36,4121,4,IPS-LCD,5
5.2,0.139,4,DDR3,128GB,2.36,1289,32,LTPS-SCREEN,6
14.4,3.27,4,DR2,128GB,1.95,2612,1.9,LED,1
14.8,4.34,16,DR2,256GB,2.78,3518,1.2,AMOLED,2
15.9,2.56,16,DDR3,512GB,2.45,3570,1.2,AMOLED,3
14.2,3.7,8,DR2,512GB,3.96,4213,2.1,LED,4
11.9,1.68,4,DDR3,16GB,1.8,4728,13,AMOLED,5
3.6,0.177,8,DR2,32GB,1.3,696,16,AMOLED,6
15.3,2.79,16,DDR3,256GB,2.75,3662,1.2,LED,1
15.2,5.05,2,DDR3,512GB,2.38,3522,1.2,OLED,2
15.7,2.58,4,DDR4,256GB,2.89,2472,1.3,LED,3
15.0,3.54,2,DDR4,256GB,4.49,4501,1.9,LED,4
11.8,1.16,2,DR2,32GB,1.5,2897,4,IPS-LCD,5
3.0,0.186,16,DDR3,32GB,2.5,973,3,IPS-LCD,6
14.2,7.31,16,DDR4,1TB,1.76,3849,1.2,LED,1
14.2,5.36,2,DR2,512GB,2.99,3484,2.1,IPS-LCD,2
15.8,2.8,8,DDR4,1TB,2.49,3279,2.1,AMOLED,3
15.2,3.31,8,DR2,256GB,3.96,4412,2.1,AMOLED,4
10.4,1.04,2,DDR4,32GB,1.5,4885,6,IPS-LCD,5
5.4,0.178,4,DR2,128GB,2.36,2852,10,AMOLED,6
15.8,5.07,4,DDR3,512GB,2.16,3818,2.1,IPS-LCD,1
15.2,5.31,2,DR2,256GB,2.73,2999,1.9,OLED,2
15.6,2.34,4,DR2,128GB,2.32,4626,1.3,LED,3
14.1,3.04,16,DDR3,1TB,4.03,4688,2.1,LED,4
12.0,0.73,2,DDR3,32GB,1.3,2924,3,OLED,5
5.2,0.155,8,DDR4,128GB,1.3,1307,2,IPS-LCD,6
14.7,2.64,2,DDR4,256GB,2.96,3155,1.9,OLED,1
14.7,5.96,8,DDR3,128GB,2.37,3912,1.2,OLED,2
15.8,2.67,8,DDR3,256GB,3.32,4488,1.2,AMOLED,3
14.5,3.71,4,DDR3,512GB,3.97,3957,4,LTPS-SCREEN,4
10.7,1.45,4,DR2,64GB,1.8,3999,1.3,LED,5
5.1,0.134,16,DR2,32GB,2.96,3178,13,LED,6
15.3,6.73,2,DR2,128GB,3.4,3066,4,LED,1
15.3,5.22,8,DDR4,512GB,2.4,3689,1.3,OLED,2
16.0,2.72,16,DDR3,512GB,3.03,3398,4,LTPS-SCREEN,3
14.0,3.77,8,DR2,128GB,4.35,3938,1.9,LTPS-SCREEN,4
11.8,1.76,2,DDR4,32GB,1.5,3596,10,IPS-LCD,5
3.7,0.155,4,DDR4,16GB,2.36,2166,6,OLED,6
14.4,5.36,4,DR2,256GB,2.14,4342,2.1,LED,1
14.5,4.31,16,DDR3,128GB,2.83,3806,1.3,LED,2
15.7,2.67,16,DR2,1TB,2.59,3965,3.1,IPS,3
15.2,3.63,8,DDR3,128GB,4.38,4147,3.1,LTPS-SCREEN,4
10.5,1.66,4,DDR4,16GB,1.3,2994,2,LTPS-SCREEN,5
4.7,0.171,16,DDR3,32GB,2.96,1704,12,IPS,6
15.6,5.31,8,DDR4,256GB,2.14,2612,1.9,AMOLED,1
15.0,5.52,16,DR2,512GB,2.86,3973,3.1,OLED,2
15.9,2.5,2,DDR4,1TB,2.39,3615,4,LTPS-SCREEN,3
13.7,3.37,2,DDR4,256GB,4.06,4730,4,LED,4
11.5,1.72,4,DDR3,32GB,1.3,4598,2,LTPS-SCREEN,5
3.2,0.142,8,DDR3,32GB,2.36,664,12,AMOLED,6
14.1,6.09,4,DR2,128GB,2.02,2606,1.3,IPS-LCD,1
14.7,4.78,2,DDR3,512GB,2.93,3578,1.2,OLED,2
15.8,2.47,2,DR2,512GB,2.34,5765,1.9,IPS-LCD,3
13.7,3.35,4,DDR3,512GB,4.3,3757,2.1,OLED,4
11.0,1.07,2,DDR4,32GB,1.8,2923,10,OLED,5
4.2,0.157,2,DR2,128GB,2.96,2254,12,AMOLED,6
14.3,2.91,2,DR2,128GB,3.36,5514,3.1,IPS,1
14.0,4.64,2,DDR3,256GB,2.71,3453,2.1,LTPS-SCREEN,2
16.0,2.4,2,DDR3,512GB,2.35,3276,1.9,LTPS-SCREEN,3
14.9,3.53,4,DR2,256GB,4.01,3871,1.9,AMOLED,4
11.0,1.4,8,DDR3,16GB,2.36,3999,3,AMOLED,5
5.0,0.154,16,DDR3,16GB,2.96,2721,6,LTPS-SCREEN,6
15.5,5.96,4,DDR4,1TB,3.15,2115,3.1,LTPS-SCREEN,1
15.3,4.03,4,DR2,128GB,2.89,3004,1.9,IPS,2
15.9,2.4,16,DDR4,128GB,2.9,5671,1.2,IPS-LCD,3
15.5,3.68,4,DDR4,128GB,3.95,4498,3.1,OLED,4
10.8,1.07,16,DDR4,16GB,1.3,3572,13,OLED,5
5.4,0.174,2,DDR3,64GB,1.8,2655,8,LED,6
14.0,4.44,2,DDR3,1TB,2.18,4001,2.1,LED,1
14.6,4.8,4,DDR3,256GB,2.69,2957,1.2,IPS-LCD,2
15.9,2.93,8,DR2,256GB,2.88,5688,1.3,LTPS-SCREEN,3
14.6,3.4,4,DDR4,1TB,4.11,3717,4,IPS-LCD,4
10.3,1.79,4,DDR4,16GB,2.36,4996,10,OLED,5
5.5,0.177,8,DDR4,16GB,1.5,2193,48,IPS,6
13.1,5.16,2,DDR4,256GB,2.26,4306,1.3,LED,1
14.9,4.31,16,DR2,1TB,2.74,2503,1.3,IPS-LCD,2
15.8,2.84,8,DDR4,512GB,2.34,4132,1.9,OLED,3
14.6,3.58,16,DR2,256GB,4.15,4855,3.1,LED,4
10.3,1.48,8,DDR4,64GB,2.36,4600,6,LED,5
4.7,0.156,16,DDR4,64GB,1.8,1228,4,OLED,6
14.0,5.03,2,DR2,128GB,2.69,3772,1.9,IPS-LCD,1
15.1,4.39,2,DR2,128GB,2.34,2842,1.3,LED,2
15.9,2.52,2,DR2,128GB,2.7,4630,1.2,IPS-LCD,3
14.8,3.8,2,DDR4,512GB,4.45,4491,1.3,IPS-LCD,4
10.2,1.0,16,DDR3,16GB,1.3,3243,6,AMOLED,5
5.6,0.164,8,DDR3,128GB,2.96,2962,4,LED,6
13.5,7.42,2,DR2,1TB,1.99,3613,1.2,OLED,1
15.4,5.6,8,DR2,128GB,2.33,2990,3.1,IPS-LCD,2
15.6,2.36,16,DDR4,512GB,3.36,3729,1.3,LED,3
13.6,2.95,16,DDR3,1TB,4.36,4352,1.3,IPS-LCD,4
11.6,1.31,16,DR2,64GB,1.5,4750,3,IPS,5
4.8,0.16,16,DDR3,128GB,1.8,2777,3,IPS-LCD,6
15.0,4.12,16,DR2,512GB,2.66,3002,1.9,LTPS-SCREEN,1
14.3,4.31,4,DDR3,512GB,2.54,3371,1.2,AMOLED,2
15.7,2.77,2,DR2,256GB,3.26,4392,3.1,OLED,3
14.0,3.7,16,DR2,1TB,3.8,4844,2.1,LTPS-SCREEN,4
11.3,0.85,2,DDR3,64GB,1.3,3809,12,LTPS-SCREEN,5
3.0,0.141,2,DR2,128GB,2.36,1470,3,LTPS-SCREEN,6
15.7,5.15,16,DR2,512GB,2.14,3144,3.1,AMOLED,1
14.4,5.7,4,DR2,512GB,2.44,3768,1.9,LTPS-SCREEN,2
15.8,2.49,16,DDR4,256GB,3.04,3710,1.9,IPS,3
14.5,3.16,8,DDR4,128GB,3.72,4916,3.1,LED,4
11.2,1.71,4,DR2,64GB,2.36,3391,3,LTPS-SCREEN,5
3.4,0.14,2,DR2,64GB,1.8,3099,13,AMOLED,6
13.4,5.81,16,DDR4,512GB,2.96,2016,1.3,LTPS-SCREEN,1
14.6,4.39,16,DR2,1TB,2.7,2820,3.1,OLED,2
15.9,2.73,16,DDR4,1TB,3.06,5927,2.1,IPS,3
14.9,3.43,16,DDR3,1TB,3.72,3671,1.2,IPS-LCD,4
10.2,1.49,8,DDR4,32GB,1.5,3190,12,OLED,5
4.7,0.18,4,DDR3,128GB,1.8,1321,16,IPS-LCD,6
13.6,4.63,8,DR2,1TB,2.57,3835,3.1,LED,1
14.0,4.24,16,DR2,128GB,2.36,3903,4,AMOLED,2
15.6,2.51,8,DDR4,256GB,2.4,3017,1.9,AMOLED,3
14.0,2.96,8,DR2,128GB,3.75,4190,3.1,LED,4
10.4,1.09,4,DDR4,64GB,2.36,2766,12,AMOLED,5
5.2,0.189,8,DR2,128GB,1.3,1450,48,IPS-LCD,6
15.3,5.6,16,DR2,1TB,2.68,4486,2.1,IPS,1
15.3,4.06,16,DDR3,128GB,2.87,3405,1.9,AMOLED,2
15.6,2.42,2,DDR3,512GB,2.43,2315,2.1,LED,3
14.4,3.03,4,DDR4,128GB,3.93,4978,2.1,LED,4
9.9,1.27,2,DDR4,16GB,1.3,3649,3,AMOLED,5
4.5,0.188,8,DR2,128GB,1.8,1964,4,OLED,6
14.1,3.93,4,DDR3,1TB,3.34,5815,3.1,OLED,1
15.2,4.4,2,DR2,512GB,2.36,2982,1.2,AMOLED,2
15.9,2.71,8,DR2,256GB,2.35,3030,1.3,IPS-LCD,3
14.3,3.49,16,DR2,1TB,3.9,4186,2.1,IPS,4
11.8,0.94,4,DDR4,64GB,1.8,3174,8,LTPS-SCREEN,5
5.5,0.151,2,DDR3,128GB,1.5,1393,108,LED,6
13.8,7.46,8,DR2,128GB,2.45,5245,1.9,LED,1
14.1,4.1,16,DR2,256GB,2.55,3445,1.2,OLED,2
16.0,2.89,8,DDR3,256GB,3.43,2931,2.1,AMOLED,3
15.1,3.32,4,DR2,256GB,4.05,4898,1.2,IPS-LCD,4
11.0,0.85,16,DR2,16GB,1.8,2711,2,LED,5
3.1,0.149,8,DDR4,16GB,1.3,3125,108,OLED,6
14.5,4.69,16,DR2,1TB,2.02,3659,1.9,IPS-LCD,1
14.8,5.25,4,DDR3,128GB,2.31,2662,4,IPS-LCD,2
15.6,2.63,4,DDR3,512GB,2.7,5754,1.2,AMOLED,3
15.3,3.75,4,DDR4,1TB,4.31,4401,2.1,LTPS-SCREEN,4
10.7,1.47,16,DDR3,64GB,1.5,5000,1.3,OLED,5
5.2,0.183,16,DDR3,128GB,2.5,1652,108,LTPS-SCREEN,6
15.5,4.51,8,DR2,1TB,2.68,5711,3.1,LED,1
14.6,6.0,2,DR2,1TB,2.72,2937,3.1,LED,2
15.8,2.7,4,DDR4,512GB,2.53,5489,1.3,IPS-LCD,3
14.4,3.58,2,DDR3,1TB,4.47,4931,1.9,LED,4
10.8,1.57,4,DDR4,16GB,1.8,3546,1.3,OLED,5
4.9,0.159,8,DDR3,64GB,1.8,946,12,LTPS-SCREEN,6
15.1,3.95,4,DR2,1TB,2.78,4695,1.2,LTPS-SCREEN,1
14.7,5.51,2,DDR3,256GB,2.53,2903,3.1,LED,2
16.0,2.76,2,DR2,1TB,3.45,2643,1.3,IPS,3
14.8,3.15,2,DDR4,256GB,4.12,4184,1.2,IPS-LCD,4
10.5,0.93,8,DDR3,16GB,1.3,3639,13,AMOLED,5
5.2,0.166,8,DR2,64GB,2.96,1686,4,LED,6
15.4,6.88,4,DR2,1TB,2.09,3840,4,LTPS-SCREEN,1
15.4,5.45,2,DDR4,128GB,2.51,2579,3.1,LTPS-SCREEN,2
15.8,2.52,8,DDR4,1TB,2.54,4181,1.9,LTPS-SCREEN,3
14.1,3.01,16,DDR4,256GB,4.2,3753,1.3,IPS-LCD,4
10.1,1.49,2,DDR4,64GB,1.8,3903,13,IPS-LCD,5
3.1,0.151,16,DR2,16GB,1.3,1215,1.3,IPS,6
13.5,3.23,8,DDR4,512GB,2.17,3047,2.1,LTPS-SCREEN,1
14.5,4.37,16,DDR3,512GB,2.51,3607,3.1,IPS,2
15.6,2.59,8,DDR4,128GB,3.4,2487,4,OLED,3
15.5,2.94,4,DDR4,512GB,4.31,4379,2.1,OLED,4
10.7,1.58,4,DDR3,16GB,2.36,3406,13,LTPS-SCREEN,5
3.5,0.176,16,DDR4,32GB,2.5,2050,13,AMOLED,6
14.4,2.22,4,DR2,1TB,3.16,2077,1.2,LTPS-SCREEN,1
15.0,4.02,2,DDR4,1TB,2.98,2851,1.9,LTPS-SCREEN,2
16.0,2.52,2,DR2,128GB,3.24,2881,3.1,AMOLED,3
13.9,3.02,4,DDR3,512GB,3.83,4249,4,LED,4
11.0,1.68,2,DDR4,64GB,1.3,3814,8,AMOLED,5
3.7,0.156,8,DDR3,32GB,2.96,2146,8,IPS,6
15.4,2.57,2,DR2,128GB,2.71,3540,3.1,LED,1
14.3,4.01,2,DR2,512GB,2.63,2877,3.1,OLED,2
16.0,2.32,16,DDR3,128GB,3.13,2615,4,LED,3
15.5,3.16,8,DDR4,512GB,4.44,4757,1.3,IPS,4
11.4,0.87,16,DDR3,32GB,1.8,3872,3,LED,5
3.0,0.19,8,DR2,64GB,2.5,2456,16,AMOLED,6
14.2,5.44,8,DDR3,512GB,2.81,4182,1.9,IPS,1
14.8,4.74,16,DDR4,1TB,2.84,2643,1.9,OLED,2
15.9,2.31,16,DR2,256GB,2.93,5400,3.1,IPS,3
14.2,3.56,16,DR2,1TB,4.36,4192,4,IPS,4
11.1,1.51,4,DDR3,32GB,2.36,4941,13,IPS,5
4.2,0.171,4,DDR4,16GB,1.5,3665,2,OLED,6
15.9,3.35,2,DR2,512GB,2.54,5529,1.3,AMOLED,1
14.5,5.2,16,DR2,1TB,2.95,2936,1.2,OLED,2
15.7,2.61,2,DDR3,512GB,3.35,3172,2.1,LED,3
15.2,3.04,16,DR2,256GB,3.76,4756,4,LTPS-SCREEN,4
10.4,1.05,4,DR2,16GB,1.3,4916,3,IPS,5
4.3,0.151,8,DR2,32GB,2.5,1630,48,IPS,6
16.0,6.47,2,DR2,256GB,2.35,4196,4,LED,1
14.3,5.13,16,DDR4,1TB,2.8,2555,1.2,OLED,2
15.9,3.0,8,DR2,512GB,3.18,3912,3.1,AMOLED,3
14.8,3.19,8,DDR3,512GB,4.4,4009,2.1,OLED,4
10.4,1.11,2,DR2,16GB,1.3,4702,2,AMOLED,5
4.4,0.165,4,DDR4,16GB,2.96,674,13,AMOLED,6
14.9,3.02,4,DDR3,1TB,2.72,2891,1.9,LTPS-SCREEN,1
15.4,5.71,16,DDR4,128GB,2.76,3854,1.9,LTPS-SCREEN,2
15.9,2.72,2,DDR4,256GB,2.85,3116,4,LED,3
14.4,2.91,2,DDR3,256GB,4.38,4049,3.1,AMOLED,4
11.3,1.1,16,DDR4,64GB,1.8,3520,2,AMOLED,5
4.4,0.158,8,DR2,64GB,1.5,1054,12,LED,6
13.8,5.7,8,DR2,128GB,2.89,5284,1.2,IPS-LCD,1
15.1,4.54,8,DDR4,512GB,2.62,3829,3.1,OLED,2
15.6,2.9,4,DDR3,256GB,2.64,2915,4,IPS,3
13.8,3.64,2,DDR3,256GB,4.31,3771,1.9,IPS,4
11.4,0.83,8,DR2,64GB,2.36,3989,1.3,LTPS-SCREEN,5
4.8,0.178,16,DDR4,32GB,1.3,792,12,OLED,6
14.5,3.89,16,DR2,512GB,2.47,3485,4,IPS,1
15.3,5.91,2,DR2,256GB,2.51,3416,3.1,LED,2
15.9,2.7,2,DR2,128GB,2.95,4589,2.1,OLED,3
14.7,3.02,4,DDR3,256GB,4.25,4252,4,OLED,4
11.0,1.65,2,DDR4,16GB,1.8,4785,10,OLED,5
3.8,0.163,8,DDR3,64GB,1.3,1297,48,OLED,6
14.7,2.93,16,DDR3,1TB,1.98,5144,2.1,IPS-LCD,1
15.4,5.29,2,DR2,256GB,2.33,3405,1.2,IPS,2
15.9,2.7,2,DDR4,128GB,3.03,5659,1.2,LTPS-SCREEN,3
14.8,3.78,2,DR2,128GB,4.33,3680,1.2,IPS-LCD,4
9.8,1.49,2,DDR3,32GB,2.36,4451,8,OLED,5
3.7,0.163,16,DDR3,128GB,2.5,2535,4,IPS,6
14.1,3.49,2,DR2,1TB,2.93,4939,1.3,OLED,1
15.6,5.06,2,DR2,1TB,2.94,3065,3.1,LED,2
15.7,2.38,8,DDR3,1TB,3.31,2678,1.2,OLED,3
14.2,3.26,4,DR2,1TB,4.07,4858,2.1,LED,4
10.2,1.08,2,DDR3,64GB,1.5,2836,4,LTPS-SCREEN,5
5.4,0.155,2,DR2,64GB,1.8,2700,4,LED,6
15.0,5.76,4,DR2,1TB,3.07,5435,4,OLED,1
14.1,4.39,8,DDR4,128GB,2.6,3631,3.1,LED,2
15.6,2.92,8,DDR4,1TB,2.34,4678,2.1,IPS,3
14.8,3.41,8,DDR3,512GB,4.17,4812,4,AMOLED,4
9.7,1.63,4,DDR3,16GB,1.5,3257,1.3,IPS,5
4.8,0.14,16,DDR3,32GB,2.5,1989,16,LED,6
14.5,3.31,16,DDR3,1TB,3.21,2228,2.1,IPS,1
14.4,4.65,2,DDR4,256GB,2.39,3888,4,OLED,2
15.6,2.3,4,DDR3,512GB,2.47,5478,2.1,AMOLED,3
14.5,3.58,4,DDR4,1TB,4.26,3661,4,IPS-LCD,4
10.1,1.23,4,DR2,16GB,1.3,3487,10,LED,5
5.2,0.175,16,DDR4,16GB,1.3,1523,1.3,IPS-LCD,6
15.6,6.28,2,DDR3,128GB,3.26,5405,3.1,IPS,1
15.3,5.43,2,DDR4,512GB,2.92,2689,2.1,LED,2
15.8,2.83,16,DDR4,256GB,3.13,4104,1.9,IPS-LCD,3
15.2,3.7,16,DR2,256GB,4.31,3955,1.2,IPS,4
9.7,1.34,16,DDR4,16GB,2.36,2520,8,LTPS-SCREEN,5
3.9,0.136,2,DR2,32GB,1.8,1609,3,IPS,6
13.6,6.57,8,DR2,256GB,2.21,4489,2.1,LED,1
14.0,4.89,8,DR2,1TB,2.42,3158,3.1,LED,2
15.8,2.47,16,DDR4,1TB,2.6,2871,1.3,LTPS-SCREEN,3
14.1,3.23,2,DDR3,256GB,3.77,4834,1.2,LED,4
11.2,0.71,4,DR2,16GB,2.36,3651,10,IPS,5
3.2,0.166,2,DR2,64GB,1.8,3882,2,LTPS-SCREEN,6
14.4,2.26,4,DDR4,128GB,1.63,3506,2.1,LED,1
15.1,4.16,16,DR2,256GB,2.39,2971,1.9,AMOLED,2
15.8,2.81,16,DR2,1TB,2.47,2625,4,IPS,3
13.7,3.62,8,DR2,1TB,3.92,4571,1.9,OLED,4
9.7,0.81,2,DR2,16GB,2.36,3793,8,IPS,5
4.8,0.137,16,DR2,16GB,2.96,2290,108,LED,6
14.5,6.74,4,DDR3,1TB,3.07,3232,1.2,OLED,1
14.4,5.77,16,DDR4,128GB,2.78,2982,4,IPS,2
15.7,2.43,16,DDR3,128GB,2.59,3847,4,IPS,3
14.8,2.98,8,DDR4,1TB,4.5,3801,1.3,LTPS-SCREEN,4
9.9,1.6,2,DDR4,64GB,1.8,4793,10,AMOLED,5
4.9,0.181,4,DDR4,128GB,1.5,2333,13,IPS-LCD,6
13.2,7.07,16,DDR4,128GB,1.87,5181,3.1,OLED,1
15.0,4.35,2,DDR3,512GB,2.39,3015,4,LTPS-SCREEN,2
15.7,2.37,4,DR2,512GB,2.33,2935,3.1,OLED,3
15.5,3.24,8,DDR3,512GB,3.83,4585,2.1,AMOLED,4
